iter	Passed	Remaining
941	1165714	1309263
942	1166895	1307962
943	1168246	1306851
944	1169401	1305521
945	1170666	1304316
946	1171895	1303068
947	1172988	1301671
948	1174018	1300204
949	1175057	1298747
950	1176329	1297549
951	1177511	1296251
952	1178589	1294840
953	1179729	1293497
954	1180862	1292147
955	1182032	1290839
956	1183185	1289511
957	1184217	1288052
958	1185457	1286820
959	1186631	1285516
960	1187784	1284191
961	1188859	1282781
962	1190079	1281528
963	1191293	1280269
964	1192535	1279040
965	1193776	1277810
966	1195047	1276612
967	1196160	1275245
968	1197265	1273870
969	1198561	1272699
970	1199682	1271342
971	1200966	1270158
972	1202074	1268788
973	1203072	1267302
974	1204110	1265859
975	1205185	1264456
976	1206407	1263208
977	1207542	1261869
978	1208512	1260359
979	1209593	1258964
980	1210646	1257541
981	1211812	1256237
982	1212809	1254757
983	1213889	1253365
984	1214938	1251941
985	1216028	1250561
986	1217083	1249144
987	1218210	1247802
988	1219220	1246341
989	1220357	1245011
990	1221498	1243685
991	1222712	1242433
992	1223904	1241159
993	1225176	1239967
994	1226311	1238636
995	1227427	1237285
996	1228522	1235915
997	1229594	1234522
998	1230512	1232976
999	1231517	1231517
1000	1232643	1230180
1001	1233723	1228798
1002	1234927	1227539
1003	1236050	1226201
1004	1237086	1224777
1005	1238182	1223413
1006	1239339	1222109
1007	1240448	1220758
1008	1241503	1219355
1009	1242648	1218041
1010	1243784	1216718
1011	1244858	1215335
1012	1245962	1213983
1013	1247120	1212683
1014	1248030	1211142
1015	1249044	1209704
1016	1250132	1208338
1017	1251222	1206975
1018	1252307	1205607
1019	1253259	1204112
1020	1254250	1202655
1021	1255265	1201222
1022	1256265	1199776
1023	1257301	1198365
1024	1258370	1196986
1025	1259278	1195455
1026	1260296	1194029
1027	1261267	1192560
1028	1262312	1191161
1029	1263454	1189855
1030	1264585	1188538
1031	1265654	1187164
1032	1266643	1185715
1033	1267741	1184369
1034	1268622	1182822
1035	1269545	1181314
1036	1270496	1179834
1037	1271466	1178372
1038	1272450	1176925
1039	1273427	1175471
1040	1274345	1173965
1041	1275414	1172598
1042	1276335	1171096
1043	1277370	1169699
1044	1278352	1168255
1045	1279356	1166832
1046	1280312	1165365
1047	1281200	1163838
1048	1282195	1162409
1049	1283248	1161034
1050	1284255	1159618
1051	1285273	1158212
1052	1286258	1156777
1053	1287300	1155395
1054	1288243	1153924
1055	1289265	1152525
1056	1290294	1151133
1057	1291451	1149855
1058	1292647	1148613
1059	1293884	1147406
1060	1295061	1146148
1061	1296086	1144754
1062	1297237	1143473
1063	1298275	1142091
1064	1299172	1140588
1065	1300111	1139121
1066	1301074	1137678
1067	1302055	1136250
1068	1302965	1134762
1069	1303982	1133367
1070	1304871	1131863
1071	1305841	1130429
1072	1306704	1128905
1073	1307656	1127457
1074	1308648	1126046
1075	1309509	1124522
1076	1310379	1123008
1077	1311318	1121554
1078	1312159	1120017
1079	1313051	1118525
1080	1313937	1117029
1081	1314883	1115585
1082	1315744	1114069
1083	1316626	1112574
1084	1317655	1111202
1085	1318515	1109689
1086	1319499	1108282
1087	1320343	1106758
1088	1321254	1105291
1089	1322147	1103810
1090	1323126	1102403
1091	1324059	1100957
1092	1325014	1099531
1093	1326014	1098143
1094	1326952	1096704
1095	1327910	1095283
1096	1328798	1093805
1097	1329816	1092435
1098	1330755	1091001
1099	1331719	1089588
1100	1332545	1088063
1101	1333540	1086678
1102	1334543	1085299
1103	1335588	1083955
1104	1336590	1082577
1105	1337582	1081192
1106	1338626	1079849
1107	1339811	1078620
1108	1340812	1077244
1109	1341687	1075767
1110	1342657	1074367
1111	1343689	1073018
1112	1344619	1071587
1113	1345566	1070172
1114	1346503	1068749
1115	1347525	1067394
1116	1348656	1066127
1117	1349713	1064800
1118	1350697	1063418
1119	1351583	1061958
1120	1352694	1060676
1121	1353801	1059391
1122	1354745	1057980
1123	1355821	1056672
1124	1356999	1055443
1125	1358064	1054128
1126	1359194	1052863
1127	1360119	1051440
1128	1361108	1050067
1129	1362099	1048696
1130	1363033	1047282
1131	1364003	1045896
1132	1364850	1044417
1133	1365849	1043055
1134	1366857	1041702
1135	1367879	1040358
1136	1368786	1038929
1137	1369736	1037533
1138	1370721	1036164
1139	1371602	1034717
1140	1372576	1033342
1141	1373550	1031967
1142	1374480	1030559
1143	1375345	1029104
1144	1376290	1027710
1145	1377215	1026301
1146	1378133	1024889
1147	1378976	1023421
1148	1379915	1022026
1149	1380846	1020625
1150	1381772	1019222
1151	1382613	1017757
1152	1383519	1016340
1153	1384433	1014931
1154	1385359	1013531
1155	1386282	1012130
1156	1387213	1010735
1157	1388193	1009377
1158	1389026	1007913
1159	1389830	1006428
1160	1390771	1005045
1161	1391706	1003657
1162	1392694	1002308
1163	1393558	1000871
1164	1394402	999421
1165	1395275	997992
1166	1396149	996566
1167	1397071	995173
1168	1398010	993795
1169	1398809	992317
1170	1399712	990915
1171	1400642	989532
1172	1401551	988135
1173	1402484	986756
1174	1403415	985377
1175	1404279	983951
1176	1405227	982584
1177	1406114	981176
1178	1407032	979790
1179	1407965	978416
1180	1408804	976977
1181	1409774	975630
1182	1410615	974195
1183	1411510	972797
1184	1412360	971370
1185	1413156	969906
1186	1414069	968524
1187	1415034	967178
1188	1415977	965818
1189	1416843	964406
1190	1417840	963084
1191	1418794	961733
1192	1419838	960443
1193	1420773	959081
1194	1421821	957796
1195	1422926	956549
1196	1423921	955228
1197	1424919	953911
1198	1425946	952613
1199	1426869	951246
1200	1427863	949927
1201	1428853	948606
1202	1429821	947271
1203	1430726	945895
1204	1431666	944543
1205	1432524	943137
1206	1433369	941724
1207	1434321	940382
1208	1435260	939032
1209	1436143	937647
1210	1437192	936370
1211	1438190	935061
1212	1439193	933755
1213	1440185	932442
1214	1441100	931081
1215	1442009	929716
1216	1442842	928303
1217	1443810	926978
1218	1444821	925681
1219	1445786	924355
1220	1446693	922992
1221	1447654	921665
1222	1448600	920329
1223	1449592	919022
1224	1450535	917685
1225	1451627	916443
1226	1452507	915067
1227	1453512	913771
1228	1454383	912391
1229	1455308	911046
1230	1456239	909706
1231	1457208	908390
1232	1458174	907071
1233	1459120	905742
1234	1459991	904367
1235	1460970	903059
1236	1461856	901694
1237	1462737	900328
1238	1463672	898994
1239	1464510	897602
1240	1465492	896300
1241	1466484	895004
1242	1467408	893667
1243	1468416	892381
1244	1469336	891043
1245	1470236	889693
1246	1471162	888360
1247	1472106	887038
1248	1473090	885741
1249	1473942	884365
1250	1474824	883008
1251	1475756	881682
1252	1476713	880371
1253	1477595	879016
1254	1478461	877652
1255	1479317	876283
1256	1480302	874991
1257	1481137	873612
1258	1482054	872281
1259	1482874	870894
1260	1483878	869616
1261	1484855	868322
1262	1485924	867083
1263	1486976	865834
1264	1488121	864639
1265	1489025	863305
1266	1489959	861989
1267	1490865	860657
1268	1491804	859345
1269	1492782	858056
1270	1493676	856719
1271	1494559	855377
1272	1495453	854041
1273	1496286	852672
1274	1497241	851372
1275	1498201	850076
1276	1499181	848792
1277	1500019	847428
1278	1500923	846103
1279	1501909	844824
1280	1502884	843539
1281	1503740	842188
1282	1504585	840832
1283	1505588	839564
1284	1506535	838267
1285	1507509	836984
1286	1508372	835640
1287	1509251	834306
1288	1510244	833036
1289	1511119	831701
1290	1512092	830421
1291	1513055	829135
1292	1513915	827794
1293	1514889	826516
1294	1515916	825267
1295	1516860	823973
1296	1517874	822718
1297	1518934	821488
1298	1519932	820225
1299	1520885	818938
1300	1521858	817662
1301	1522970	816461
1302	1524051	815244
1303	1524937	813923
1304	1525960	812676
1305	1526937	811404
1306	1527968	810162
1307	1528829	808830
1308	1529834	807574
1309	1530768	806282
1310	1531672	804975
1311	1532627	803695
1312	1533580	802413
1313	1534639	801189
1314	1535607	799916
1315	1536644	798681
1316	1537693	797452
1317	1538966	796339
1318	1540837	795534
